"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "Youden" "YoudenSensitivity" "YoudenSpecificity" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected"
"50" "GAMMA_FORW" 3 3 1 1 1 1 0.856 0.845360824742268 0.866019417475728 0.711688034960179 0.855690121108998 0.603044950365419 0.830097087378641 0.892783505154639 0.866019417475728 0.845360824742268 0.196931930229689 0.300000000000011 0.0699999999999932 0.0100000000000193 "x1;x2;x3"
"51" "LASSO" 6 3 0.88 0.863636363636364 1 0.657128740672771 0.857 0.845360824742268 0.867961165048544 0.713692111300158 0.856660994895406 0.498893357533318 0.869902912621359 0.845360824742268 0.867961165048544 0.845360824742268 0.197408315576475 2.19 0.0499999999999829 0.00999999999999091 "x1;x2;x3;Noise5;Noise7;Noise21"
"52" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8465 0.839175257731959 0.853398058252427 0.692685988017616 0.846286657992193 0.56756528372118 0.830097087378641 0.867010309278351 0.853398058252427 0.839175257731959 0.206970857201276 8.84 0.0400000000000205 0 "x1;x2"
"53" "STEP" 6 3 0.88 0.863636363636364 1 0.657128740672771 0.857 0.845360824742268 0.867961165048544 0.713692111300158 0.856660994895406 0.498893357533318 0.869902912621359 0.845360824742268 0.867961165048544 0.845360824742268 0.197408315576475 1.54999999999998 0.0600000000000023 0.0199999999999818 "x1;x2;x3;Noise7;Noise5;Noise21"
"54" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.7695 0.750515463917526 0.787378640776699 0.538408724699785 0.768947052347112 0.527205538743349 0.770873786407767 0.778350515463918 0.787378640776699 0.750515463917526 0.314535361769319 0.140000000000015 0.0600000000000023 0.00999999999999091 "x1"
"55" "SVM-RFE" 5 3 0.92 0.909090909090909 1 0.738548945875996 0.8545 0.84020618556701 0.867961165048544 0.708699909117692 0.854083675307777 0.568702394052679 0.844660194174757 0.877319587628866 0.867961165048544 0.84020618556701 0.197641756847313 22.54 0.0600000000000023 0.0200000000000102 "Noise10;Noise5;x1;x2;x3"
"56" "CFS" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.769 0.7524557956778 0.786150712830957 0.538674407761415 0.769303254254379 0.50792054810186 0.781059063136456 0.760314341846758 0.786150712830957 0.7524557956778 0.308813722547648 0.150000000000006 0.0499999999999829 0 "x1"
"57" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8535 0.851669941060904 0.855397148676171 0.706981168906077 0.853533544868537 0.542066979816072 0.845213849287169 0.8762278978389 0.855397148676171 0.851669941060904 0.204659886675392 0.110000000000014 0.0400000000000205 0 "x1;x2"
"58" "FULL" 25 3 0.12 0 1 0 0.856 0.846758349705305 0.865580448065173 0.712236209903577 0.856169398885239 0.533028206732253 0.855397148676171 0.867387033398821 0.865580448065173 0.846758349705305 0.197568887248096 0 0.0999999999999943 0.0199999999999818 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"59" "GAMMA_BACK" 3 3 1 1 1 1 0.8595 0.855599214145383 0.863543788187373 0.719035479727926 0.859571501166378 0.5553873386559 0.847250509164969 0.881139489194499 0.863543788187373 0.855599214145383 0.196692341625991 5.19 0.0600000000000023 0 "x1;x2;x3"
"60" "GAMMA_BF" 3 3 1 1 1 1 0.8595 0.855599214145383 0.863543788187373 0.719035479727926 0.859571501166378 0.5553873386559 0.847250509164969 0.881139489194499 0.863543788187373 0.855599214145383 0.196692341625991 0.300000000000011 0.0600000000000023 0.0200000000000102 "x1;x2;x3"
"61" "GAMMA_FORW" 3 3 1 1 1 1 0.8595 0.855599214145383 0.863543788187373 0.719035479727926 0.859571501166378 0.5553873386559 0.847250509164969 0.881139489194499 0.863543788187373 0.855599214145383 0.196692341625991 0.300000000000011 0.0699999999999932 0 "x1;x2;x3"
"62" "LASSO" 4 3 0.96 0.954545454545455 1 0.846114112226649 0.8585 0.853634577603143 0.863543788187373 0.71706540028448 0.858589182895258 0.573436719632281 0.838085539714868 0.887033398821218 0.863543788187373 0.853634577603143 0.196519952304238 2.16 0.0600000000000023 0.00999999999999091 "x1;x2;x3;Noise5"
"63" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8535 0.851669941060904 0.855397148676171 0.706981168906077 0.853533544868537 0.542066979816072 0.845213849287169 0.8762278978389 0.855397148676171 0.851669941060904 0.204659886675392 8.91 0.0500000000000114 0 "x1;x2"
"64" "STEP" 8 3 0.8 0.772727272727273 1 0.538305421923955 0.857 0.851669941060904 0.862525458248472 0.714081118445163 0.857097699654688 0.52805401284964 0.859470468431772 0.861493123772102 0.862525458248472 0.851669941060904 0.196451761970543 2.13999999999999 0.039999999999992 0 "x1;x2;x3;Noise5;Noise1;Noise14;Noise22;Noise6"
"65" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.769 0.7524557956778 0.786150712830957 0.538674407761415 0.769303254254379 0.50792054810186 0.781059063136456 0.760314341846758 0.786150712830957 0.7524557956778 0.308813722547648 0.189999999999998 0.0500000000000114 0 "x1"
"66" "SVM-RFE" 8 3 0.8 0.772727272727273 1 0.538305421923955 0.8565 0.847740667976424 0.865580448065173 0.713214463895602 0.856660558020799 0.559463696898502 0.845213849287169 0.87426326129666 0.865580448065173 0.847740667976424 0.196786130092696 22.86 0.0600000000000023 0 "Noise1;Noise21;Noise5;Noise6;Noise9;x1;x2;x3"
"67" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 0.84744623655914 0.468909426809266 0.854838709677419 0.845238095238095 0.840725806451613 0.854166666666667 0.215714236490172 0.180000000000007 0.0499999999999829 0.00999999999999091 "x1;x2"
"68" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.8475 0.854166666666667 0.840725806451613 0.694995694249766 0.84744623655914 0.468909426809266 0.854838709677419 0.845238095238095 0.840725806451613 0.854166666666667 0.215714236490172 0.0900000000000034 0.0400000000000205 0 "x1;x2"
"69" "FULL" 25 3 0.12 0 1 0 0.856 0.858134920634921 0.85383064516129 0.711978382342702 0.855982782898105 0.470760906690359 0.865927419354839 0.849206349206349 0.85383064516129 0.858134920634921 0.204956243867604 0 0.0999999999999943 0.0199999999999818 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"70" "GAMMA_BACK" 3 3 1 1 1 1 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 0.852510560675883 0.534124758771484 0.846774193548387 0.869047619047619 0.85383064516129 0.851190476190476 0.206686522328919 5.44999999999999 0.0499999999999829 0 "x1;x2;x3"
"71" "GAMMA_BF" 3 3 1 1 1 1 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 0.852510560675883 0.534124758771484 0.846774193548387 0.869047619047619 0.85383064516129 0.851190476190476 0.206686522328919 0.340000000000003 0.0799999999999841 0.0199999999999818 "x1;x2;x3"
"72" "GAMMA_FORW" 3 3 1 1 1 1 0.8525 0.851190476190476 0.85383064516129 0.705001732829837 0.852510560675883 0.534124758771484 0.846774193548387 0.869047619047619 0.85383064516129 0.851190476190476 0.206686522328919 0.299999999999983 0.0699999999999932 0 "x1;x2;x3"
