"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"21" "SU" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.86 0.963414634146341 0.388888888888889 0.451168645455973 0.676151761517615 0.74390243902439 0.944444444444444 0.179336504783385 0.388888888888889 0.963414634146341 0.194093083112911 0.430000000000291 0.0599999999976717 0 "x2" "faible" "desequilibre" 200
"22" "SVM-RFE" 24 2 0.885 0.888324873096447 0.666666666666667 0.207595601973833 0.68 0.731707317073171 0.444444444444444 0.147679604928049 0.588075880758808 0.792682926829268 0.444444444444444 0.999623298033256 0.444444444444444 0.731707317073171 0.318989487373399 10.6100000000006 0.0199999999967986 0 "Noise1;Noise103;Noise108;Noise109;Noise120;Noise137;Noise143;Noise145;Noise154;Noise155;Noise157;Noise160;Noise186;Noise19;Noise190;Noise26;Noise44;Noise57;Noise63;Noise85;Noise87;Noise88;x2;x3" "faible" "desequilibre" 200
"23" "CFS" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.662650602409639 0.941176470588235 0.108537771640782 0.529411764705882 0.867469879518072 0.213005003162918 1.68999999999505 0.0499999999956344 0 "x2;Noise80" "faible" "desequilibre" 200
"24" "CHI2" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.662650602409639 0.941176470588235 0.108537771640782 0.529411764705882 0.867469879518072 0.213005003162918 0.360000000000582 0.0599999999976717 0 "x2;Noise80" "faible" "desequilibre" 200
"25" "FULL" 200 3 0.015 0 1 0 0.45 0.44578313253012 0.470588235294118 -0.063029332041204 0.541814316087881 0.55421686746988 0.588235294117647 0.698844385568813 0.470588235294118 0.44578313253012 0.54964161912338 0 0.139999999999418 0.069999999999709 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "desequilibre" 200
"26" "GAMMA_BACK" 71 2 0.65 0.649746192893401 0.666666666666667 0.0803755275731362 0.67 0.686746987951807 0.588235294117647 0.215192425842938 0.637491141034727 0.807228915662651 0.529411764705882 0.999979200090227 0.588235294117647 0.686746987951807 0.322120478502987 297.220000000001 0.0499999999956344 0 "x2;x3;Noise8;Noise9;Noise11;Noise12;Noise17;Noise19;Noise23;Noise24;Noise25;Noise27;Noise29;Noise30;Noise37;Noise38;Noise41;Noise42;Noise43;Noise44;Noise45;Noise50;Noise56;Noise59;Noise60;Noise61;Noise68;Noise70;Noise71;Noise74;Noise76;Noise82;Noise84;Noise86;Noise87;Noise88;Noise98;Noise100;Noise101;Noise107;Noise108;Noise110;Noise112;Noise114;Noise115;Noise117;Noise119;Noise120;Noise128;Noise134;Noise136;Noise140;Noise144;Noise146;Noise148;Noise150;Noise155;Noise156;Noise157;Noise158;Noise159;Noise162;Noise163;Noise169;Noise172;Noise173;Noise174;Noise183;Noise187;Noise189;Noise197" "faible" "desequilibre" 200
"27" "GAMMA_BF" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.674698795180723 0.941176470588235 0.115231709574054 0.529411764705882 0.867469879518072 0.213245669244966 2.80999999999767 0.0299999999988358 0 "x2" "faible" "desequilibre" 200
"28" "GAMMA_FORW" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.674698795180723 0.941176470588235 0.115231709574054 0.529411764705882 0.867469879518072 0.213245669244966 3 0.0299999999988358 0 "x2" "faible" "desequilibre" 200
"29" "LASSO" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.674698795180723 0.941176470588235 0.115231709574054 0.529411764705882 0.867469879518072 0.213245669244966 1.88000000000466 0.0299999999988358 0 "x2" "faible" "desequilibre" 200
"30" "RFI" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.674698795180723 0.941176470588235 0.115231709574054 0.529411764705882 0.867469879518072 0.213245669244966 0.440000000002328 0.0599999999976717 0.0199999999967986 "x2" "faible" "desequilibre" 200
"31" "STEP" 6 2 0.975 0.979695431472081 0.666666666666667 0.460567334187357 0.79 0.855421686746988 0.470588235294118 0.306150049137376 0.663004961020553 0.855421686746988 0.470588235294118 0.5 0.470588235294118 0.855421686746988 0.21 3.26000000000204 0.0299999999988358 0 "x2;x3;Noise156;Noise45;Noise84;Noise25" "faible" "desequilibre" 200
"32" "SU" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.81 0.867469879518072 0.529411764705882 0.372704407645502 0.698440822111977 0.674698795180723 0.941176470588235 0.115231709574054 0.529411764705882 0.867469879518072 0.213245669244966 0.440000000002328 0.0500000000029104 0.0199999999967986 "x2" "faible" "desequilibre" 200
"33" "SVM-RFE" 14 2 0.935 0.939086294416244 0.666666666666667 0.288581705843684 0.77 0.819277108433735 0.529411764705882 0.306682629957947 0.674344436569809 0.63855421686747 0.882352941176471 2.67709940050259e-13 0.529411764705882 0.819277108433735 0.2373297501078 8.9800000000032 0.0299999999988358 0.0100000000020373 "Noise101;Noise120;Noise146;Noise163;Noise169;Noise173;Noise174;Noise176;Noise18;Noise47;Noise71;Noise8;x2;x3" "faible" "desequilibre" 200
"34" "CFS" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.87 0.9625 0.5 0.550098455941299 0.73125 0.925 0.7 0.29704561751479 0.5 0.9625 0.172096182700201 0.92000000000553 0.0499999999956344 0 "x2" "faible" "desequilibre" 200
"35" "CHI2" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.87 0.9625 0.5 0.550098455941299 0.73125 0.925 0.7 0.29704561751479 0.5 0.9625 0.172096182700201 0.360000000000582 0.0499999999956344 0.0100000000020373 "x2" "faible" "desequilibre" 200
